2026-03-05 13:30:47,544 INFO    MainThread:67646 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_setup.py:_flush():81] Configure stats pid to 67646
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/santhoshreddy/Documents/Semester2/DA6401/Assignment-1/wandb/run-20260305_133047-1rpjwe7f/logs/debug.log
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/santhoshreddy/Documents/Semester2/DA6401/Assignment-1/wandb/run-20260305_133047-1rpjwe7f/logs/debug-internal.log
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_init.py:init():844] calling init triggers
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': '128 64 32', 'learning_rate': 0.0001974620241129557, 'num_layers': 3, 'optimizer': 'rmsprop', 'wandb_project': 'ASSIGNMENT-1', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'dataset': 'fashion_mnist', 'epochs': 5, 'batch_size': 64, 'learning_rate': 0.0001974620241129557, 'optimizer': 'rmsprop', 'loss': 'mean_squared_error', 'weight_decay': 0.0, 'num_layers': 3, 'hidden_size': [128, 64, 32], 'activation': 'relu', 'weight_init': 'xavier', 'wandb_project': 'ASSIGNMENT-1', 'model_save_path': 'src/best_model.npy', '_wandb': {}}
2026-03-05 13:30:47,545 INFO    MainThread:67646 [wandb_init.py:init():892] starting backend
2026-03-05 13:30:47,786 INFO    MainThread:67646 [wandb_init.py:init():895] sending inform_init request
2026-03-05 13:30:47,809 INFO    MainThread:67646 [wandb_init.py:init():903] backend started and connected
2026-03-05 13:30:47,810 INFO    MainThread:67646 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'relu', 'batch_size': 64, 'dataset': 'fashion_mnist', 'epochs': 5, 'hidden_size': '128 64 32', 'learning_rate': 0.0001974620241129557, 'num_layers': 3, 'optimizer': 'rmsprop', 'wandb_project': 'ASSIGNMENT-1', 'weight_decay': 0, 'weight_init': 'xavier'}
2026-03-05 13:30:47,812 INFO    MainThread:67646 [wandb_init.py:init():973] updated telemetry
2026-03-05 13:30:47,837 INFO    MainThread:67646 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-05 13:30:48,879 INFO    MainThread:67646 [wandb_init.py:init():1042] starting run threads in backend
2026-03-05 13:30:48,900 INFO    MainThread:67646 [wandb_run.py:_console_start():2524] atexit reg
2026-03-05 13:30:48,900 INFO    MainThread:67646 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-05 13:30:48,900 INFO    MainThread:67646 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-05 13:30:48,900 INFO    MainThread:67646 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-05 13:30:48,902 INFO    MainThread:67646 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-05 13:30:52,934 INFO    MainThread:67646 [wandb_run.py:_finish():2291] finishing run santhoshreddywork-indian-institute-of-technology-madras/Assignment-1-src/1rpjwe7f
2026-03-05 13:30:52,934 INFO    MainThread:67646 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-05 13:30:52,934 INFO    MainThread:67646 [wandb_run.py:_restore():2472] restore
2026-03-05 13:30:52,934 INFO    MainThread:67646 [wandb_run.py:_restore():2478] restore done
2026-03-05 13:30:55,815 INFO    MainThread:67646 [wandb_run.py:_footer_sync_info():3868] logging synced files
